Student Name,Event Name,Dept,College,City,District,feedback
Michele Davis,Smart Cities Forum,CIVIL,Coimbatore Institute of Technology,Coimbatore,Coimbatore,2
Connie Elliott,Smart Cities Forum,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,3
Gerald Whitaker,Machine Learning for Finance Forum,AIML,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Christina Mcneil,Data Science & AI for Healthcare,AI&DS,Kumaraguru College of Technology,Coimbatore,Coimbatore,4
Casey Harris,AI & Data Engineering Workshop,AI&DS,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Douglas Page,Bridge Engineering Workshop,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,2
Steve Norris,Autonomous Vehicle Expo,ECE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Nancy Woods,Mechatronics and Robotics Expo,MECH,SRM Institute of Science and Technology,Chennai,Chennai,3
Thomas Fields,Space Tech Expo,CSE,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Michael Roberts,Smart Cities Forum,CIVIL,Sathyabama University,Chennai,Chennai,3
Heather Jackson,Mechatronics and Robotics Expo,MECH,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,5
Michael Martin,Cyber Intelligence Summit,CSBS,Kumaraguru College of Technology,Coimbatore,Coimbatore,4
Michelle Jones,Bridge Engineering Workshop,CIVIL,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Alexandra Rios,AI & Data Engineering Workshop,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Crystal Garcia,Wind Energy Innovations Symposium,ECE,Government College of Technology,Trichy,Trichy,4
Daniel Curtis,Sustainable Building Workshop,CIVIL,SRM Institute of Science and Technology,Chennai,Chennai,5
Patrick Gray,3D Printing Revolution Expo,MECH,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,3
Ashlee Kent DDS,Blockchain for Supply Chains Summit,CSBS,SRM Institute of Science and Technology,Chennai,Chennai,5
Stephen Lewis,Space Tech Expo,CSE,Sathyabama University,Chennai,Chennai,3
Jodi Ryan,Smart Cities Forum,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,3
Michael Cummings,AI & Data Engineering Workshop,AI&DS,Government College of Technology,Trichy,Trichy,4
Dylan Hahn,Space Tech Expo,CSE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,2
Heather Davis,Cyber Intelligence Summit,CSBS,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
David Lopez,Machine Learning for Finance Forum,AIML,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3
Stuart Moore,Advanced Robotics Workshop,CSE,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Lori Smith,Hydropower Engineering Conference,AI&DS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3
Joshua Grimes,Autonomous Vehicle Expo,ECE,Kumaraguru College of Technology,Coimbatore,Coimbatore,5
Shannon Vaughan,Cyber Intelligence Summit,CSBS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Jonathan David,Wind Energy Innovations Symposium,ECE,SRM Institute of Science and Technology,Chennai,Chennai,2
Gregory Roman,Autonomous Vehicle Expo,ECE,Kumaraguru College of Technology,Coimbatore,Coimbatore,4
Sandra Clark,Bridge Engineering Workshop,CIVIL,Sathyabama University,Chennai,Chennai,3
Brandon Peterson,Sustainable Building Workshop,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
Andrew Morris,Mechatronics and Robotics Expo,MECH,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3
Erik Wallace,Smart Cities Forum,CIVIL,SSN College of Engineering,Chennai,Chennai,3
Donna Barnett,Mechatronics and Robotics Expo,MECH,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Richard Mcfarland,AI & Data Engineering Workshop,AI&DS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4
Jeffery Sutton,Cyber Intelligence Summit,CSBS,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Brandi Sanchez,Hydropower Engineering Conference,AI&DS,Kumaraguru College of Technology,Coimbatore,Coimbatore,3
William Green,Robotic Process Automation Summit,CSE,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Jacqueline Rodriguez,Robotic Process Automation Summit,CSE,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Michael Noble,AI for Healthcare Symposium,AI&DS,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Kyle Harris,Advanced Robotics Workshop,CSE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3
George Kemp,Space Tech Expo,CSE,Sathyabama University,Chennai,Chennai,2
Joseph Chambers,Data Science & AI for Healthcare,AI&DS,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Jamie Wise,Hydropower Engineering Conference,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Teresa Gonzalez,Space Tech Expo,CSE,Government College of Technology,Trichy,Trichy,4
Joan Moore,Data Science & AI for Healthcare,AI&DS,SSN College of Engineering,Chennai,Chennai,4
Douglas Mcpherson,Blockchain for Supply Chains Summit,CSBS,Government College of Technology,Trichy,Trichy,4
David Rice,Space Tech Expo,CSE,Government College of Technology,Trichy,Trichy,3
Melinda Campbell,Wind Energy Innovations Symposium,ECE,Kumaraguru College of Technology,Coimbatore,Coimbatore,2
Karen Mitchell,Bridge Engineering Workshop,CIVIL,Government College of Technology,Trichy,Trichy,2
Janet Watkins,Sustainable Building Workshop,CIVIL,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Mr. William Stone DDS,Bridge Engineering Workshop,CIVIL,SSN College of Engineering,Chennai,Chennai,3
Theresa Doyle,Sustainable Building Workshop,CIVIL,Government College of Technology,Trichy,Trichy,5
Paul Burch,Machine Learning for Finance Forum,AIML,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Anna Smith,AI for Healthcare Symposium,AI&DS,SRM Institute of Science and Technology,Chennai,Chennai,5
Pamela Murray,Mechatronics and Robotics Expo,MECH,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Stephanie Zimmerman,Sustainable Building Workshop,CIVIL,Sathyabama University,Chennai,Chennai,5
Brandon Cox,Advanced Robotics Workshop,CSE,Government College of Technology,Trichy,Trichy,4
Cynthia Brown,Blockchain for Supply Chains Summit,CSBS,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Charles Bailey,Space Tech Expo,CSE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3
Joseph Hartman,Bridge Engineering Workshop,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,2
Carly Miller,Machine Learning for Finance Forum,AIML,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4
Chad Mcclure,3D Printing Revolution Expo,MECH,Sathyabama University,Chennai,Chennai,4
David Scott,3D Printing Revolution Expo,MECH,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Tammy Johnson,Robotic Process Automation Summit,CSE,Government College of Technology,Trichy,Trichy,3
Rodney Davis,Data Science & AI for Healthcare,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
Brian Lewis,Advanced Robotics Workshop,CSE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4
April Peterson,Advanced Robotics Workshop,CSE,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,5
Sheri Anthony,Blockchain for Supply Chains Summit,CSBS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Megan Randall,Wind Energy Innovations Symposium,ECE,Kumaraguru College of Technology,Coimbatore,Coimbatore,3
Travis Bowen,Robotic Process Automation Summit,CSE,Government College of Technology,Trichy,Trichy,3
William Burton,Robotic Process Automation Summit,CSE,SRM Institute of Science and Technology,Chennai,Chennai,4
Timothy Jacobs,AI & Data Engineering Workshop,AI&DS,SRM Institute of Science and Technology,Chennai,Chennai,5
Linda Sellers,Blockchain for Supply Chains Summit,CSBS,Kumaraguru College of Technology,Coimbatore,Coimbatore,3
Charles Jensen PhD,Mechatronics and Robotics Expo,MECH,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3
Abigail Owen,Smart Cities Forum,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,2
Michael Diaz,Autonomous Vehicle Expo,ECE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Tiffany Fisher,Advanced Robotics Workshop,CSE,Government College of Technology,Trichy,Trichy,4
Andrea Jackson,Bridge Engineering Workshop,CIVIL,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4
Laura Kennedy,Advanced Robotics Workshop,CSE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4
Morgan Taylor,Hydropower Engineering Conference,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
Robert Ramirez,Robotic Process Automation Summit,CSE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3
Douglas Perez,Blockchain for Supply Chains Summit,CSBS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3
Robert Donaldson,Advanced Robotics Workshop,CSE,SRM Institute of Science and Technology,Chennai,Chennai,4
Johnny Evans,Blockchain for Supply Chains Summit,CSBS,Sathyabama University,Chennai,Chennai,4
Kurt Skinner,Data Science & AI for Healthcare,AI&DS,SSN College of Engineering,Chennai,Chennai,5
Richard Farmer,Hydropower Engineering Conference,AI&DS,SRM Institute of Science and Technology,Chennai,Chennai,4
Tabitha Hall,Robotic Process Automation Summit,CSE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,2
Wendy Moore,Advanced Robotics Workshop,CSE,Government College of Technology,Trichy,Trichy,4
Mark Rojas,Space Tech Expo,CSE,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,2
Denise Flowers,Cyber Intelligence Summit,CSBS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
Carol Johnson,Advanced Robotics Workshop,CSE,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
James Morgan,Sustainable Building Workshop,CIVIL,Government College of Technology,Trichy,Trichy,4
Jennifer Acevedo,AI & Data Engineering Workshop,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
Brett Garcia,Autonomous Vehicle Expo,ECE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4
Jennifer Schmidt,Sustainable Building Workshop,CIVIL,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Christian Lynch,AI & Data Engineering Workshop,AI&DS,Government College of Technology,Trichy,Trichy,4
David Mcbride,Autonomous Vehicle Expo,ECE,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Keith Singleton,Machine Learning for Finance Forum,AIML,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,3
Brent Sanders,Blockchain for Supply Chains Summit,CSBS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
Veronica Stanley,Bridge Engineering Workshop,CIVIL,Kumaraguru College of Technology,Coimbatore,Coimbatore,2
Dorothy Lyons,Blockchain for Supply Chains Summit,CSBS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4
Sara Williams,Wind Energy Innovations Symposium,ECE,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,2
Hayley Reyes,Blockchain for Supply Chains Summit,CSBS,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Stacey Hess,Mechatronics and Robotics Expo,MECH,Kumaraguru College of Technology,Coimbatore,Coimbatore,4
Christine Walker,Robotic Process Automation Summit,CSE,Kumaraguru College of Technology,Coimbatore,Coimbatore,4
David Johnston,Smart Cities Forum,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,3
Jason Hamilton,Robotic Process Automation Summit,CSE,SSN College of Engineering,Chennai,Chennai,4
Paul Hanson,Sustainable Building Workshop,CIVIL,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,5
Andrew Cole,Blockchain for Supply Chains Summit,CSBS,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,5
Ashley Martinez,3D Printing Revolution Expo,MECH,Kumaraguru College of Technology,Coimbatore,Coimbatore,4
Christina Zamora,Sustainable Building Workshop,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
Carmen Delgado,AI for Healthcare Symposium,AI&DS,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Catherine Chavez,Hydropower Engineering Conference,AI&DS,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
Chelsea Thomas,Data Science & AI for Healthcare,AI&DS,SSN College of Engineering,Chennai,Chennai,4
Susan King,Wind Energy Innovations Symposium,ECE,Government College of Technology,Trichy,Trichy,3
Sherry Johnson,Sustainable Building Workshop,CIVIL,Kumaraguru College of Technology,Coimbatore,Coimbatore,5
Elizabeth Smith,Robotic Process Automation Summit,CSE,SRM Institute of Science and Technology,Chennai,Chennai,3
Jasmine Miller,3D Printing Revolution Expo,MECH,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,3
Sarah Friedman,Machine Learning for Finance Forum,AIML,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,5
Crystal Hamilton,Smart Cities Forum,CIVIL,SRM Institute of Science and Technology,Chennai,Chennai,4
Sarah Chen,Data Science & AI for Healthcare,AI&DS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Marc Davis Jr.,Smart Cities Forum,CIVIL,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4
Jessica King,Cyber Intelligence Summit,CSBS,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4
Gina Jones,Sustainable Building Workshop,CIVIL,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,5
Thomas Webb,Hydropower Engineering Conference,AI&DS,Government College of Technology,Trichy,Trichy,5
Mr. Jason Stevens DVM,Advanced Robotics Workshop,CSE,Government College of Technology,Trichy,Trichy,4
Jessica West,Bridge Engineering Workshop,CIVIL,Government College of Technology,Trichy,Trichy,3
Karl Sawyer,Smart Cities Forum,CIVIL,Coimbatore Institute of Technology,Coimbatore,Coimbatore,2
Kenneth Brown,AI & Data Engineering Workshop,AI&DS,Kumaraguru College of Technology,Coimbatore,Coimbatore,5
William Brown,Sustainable Building Workshop,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
Rhonda Smith DDS,Wind Energy Innovations Symposium,ECE,SSN College of Engineering,Chennai,Chennai,2
John Roberts,Advanced Robotics Workshop,CSE,SSN College of Engineering,Chennai,Chennai,4
Mrs. Ruth Fernandez,Autonomous Vehicle Expo,ECE,Government College of Technology,Trichy,Trichy,4
Douglas Oliver,Wind Energy Innovations Symposium,ECE,Government College of Technology,Trichy,Trichy,2
Victoria Jones,Space Tech Expo,CSE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,3
Hannah Wallace,AI & Data Engineering Workshop,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Jorge Mason,Advanced Robotics Workshop,CSE,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Rebecca Wright,Robotic Process Automation Summit,CSE,Government College of Technology,Trichy,Trichy,2
Jeremy Clark,Wind Energy Innovations Symposium,ECE,SSN College of Engineering,Chennai,Chennai,3
Stephanie Peters,AI for Healthcare Symposium,AI&DS,Government College of Technology,Trichy,Trichy,3
Arthur Estrada,3D Printing Revolution Expo,MECH,Kumaraguru College of Technology,Coimbatore,Coimbatore,3
Marcus Dominguez,Robotic Process Automation Summit,CSE,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,3
Richard Garcia,Wind Energy Innovations Symposium,ECE,Sathyabama University,Chennai,Chennai,3
Melissa Knox,Robotic Process Automation Summit,CSE,Kumaraguru College of Technology,Coimbatore,Coimbatore,3
Ashley Johnson,Wind Energy Innovations Symposium,ECE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4
Kimberly Young,Blockchain for Supply Chains Summit,CSBS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,5
Ralph Young,Advanced Robotics Workshop,CSE,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Sarah Griffin,Blockchain for Supply Chains Summit,CSBS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,2
Adrian Schneider,Hydropower Engineering Conference,AI&DS,Kumaraguru College of Technology,Coimbatore,Coimbatore,4
Nicholas Diaz,AI for Healthcare Symposium,AI&DS,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,3
Mrs. Victoria Bennett,Autonomous Vehicle Expo,ECE,Government College of Technology,Trichy,Trichy,5
Samuel Fleming,Blockchain for Supply Chains Summit,CSBS,Kumaraguru College of Technology,Coimbatore,Coimbatore,2
Meghan Leblanc,Smart Cities Forum,CIVIL,Sathyabama University,Chennai,Chennai,3
Tracy Chung,Wind Energy Innovations Symposium,ECE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,2
Brian King,Advanced Robotics Workshop,CSE,Kumaraguru College of Technology,Coimbatore,Coimbatore,3
Shelby Rodriguez,Bridge Engineering Workshop,CIVIL,Kumaraguru College of Technology,Coimbatore,Coimbatore,2
Renee Francis,Hydropower Engineering Conference,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,3
Janice Harmon,Space Tech Expo,CSE,SRM Institute of Science and Technology,Chennai,Chennai,2
Jessica Smith,Mechatronics and Robotics Expo,MECH,Coimbatore Institute of Technology,Coimbatore,Coimbatore,4
Nicholas Espinoza,Mechatronics and Robotics Expo,MECH,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,3
Arthur Casey,Hydropower Engineering Conference,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,3
Susan Evans,Data Science & AI for Healthcare,AI&DS,SSN College of Engineering,Chennai,Chennai,4
Thomas Martin,AI & Data Engineering Workshop,AI&DS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,2
Nicholas Chavez,AI for Healthcare Symposium,AI&DS,Government College of Technology,Trichy,Trichy,5
Valerie Jacobs,Cyber Intelligence Summit,CSBS,Sathyabama University,Chennai,Chennai,4
Shane Williams,Mechatronics and Robotics Expo,MECH,Kumaraguru College of Technology,Coimbatore,Coimbatore,3
Kristopher Howard,Space Tech Expo,CSE,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,2
Brittany Smith,Autonomous Vehicle Expo,ECE,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,4
David Martin,Blockchain for Supply Chains Summit,CSBS,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Gabriela Bryant,Autonomous Vehicle Expo,ECE,Government College of Technology,Trichy,Trichy,4
Rachael Morse,Advanced Robotics Workshop,CSE,Coimbatore Institute of Technology,Coimbatore,Coimbatore,5
Jaclyn Ford,Smart Cities Forum,CIVIL,PSG Institute of Technology and Applied Research,Coimbatore,Coimbatore,3
Adam Sparks,Wind Energy Innovations Symposium,ECE,Kumaraguru College of Technology,Coimbatore,Coimbatore,2
Nathan Vaughan,AI for Healthcare Symposium,AI&DS,Kumaraguru College of Technology,Coimbatore,Coimbatore,3
Richard Campbell,Bridge Engineering Workshop,CIVIL,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,4
Kyle Morrison,Space Tech Expo,CSE,Kumaraguru College of Technology,Coimbatore,Coimbatore,2
Valerie Pham,Bridge Engineering Workshop,CIVIL,Sathyabama University,Chennai,Chennai,2
Donna Sampson,Autonomous Vehicle Expo,ECE,Government College of Technology,Trichy,Trichy,4
Chase Acosta,Robotic Process Automation Summit,CSE,KPR Institute of Engineering and Technology,Coimbatore,Coimbatore,2
